iteration,idea,status,qualified,quality_scope,dense_comparator,latency_ms,dense_latency_ms,R_model,zero_products,model_products,speedup_matched_dense,speedup_eager,best_so_far_matched_dense,elapsed_seconds,error
001-dense-screen,Freeze the strongest correct dense execution control,complete,True,complete-validation,native,2.8699515387415886,2.8699515387415886,0.27482684296304843,1748738568719,6363055915008,1.0,1.0,1.0,11.009881038917229,
002-dense-hoisted,Hoisted attention import and deterministic cuBLAS workspace,complete,True,complete-validation,native,4.17909340467304,4.17909340467304,0.27482684296304843,1748738568719,6363055915008,1.0,1.0,1.0,41.01886168913916,
003-k017-eager,"Fuse h and z gates into exact sparse projections, 4 elements and 4 warps",complete,True,complete-validation,native,3.466921509243548,4.404863575473428,0.27482684296304843,1748738568719,6363055915008,1.271296064398599,1.271296064398599,1.271296064398599,25.076541726011783,
004-k017-graph,Replay the same fused h/z kernel under CUDA graphs,complete,False,complete-validation,native,1.3507949188351631,4.349460010416806,0.27482684296304843,1748738568719,6363055915008,3.2227272101838444,3.2227272101838444,1.271296064398599,24.556189979892224,
005-dense-casts,Preserve eager BF16 rounding in compiled dense with isolated models,complete,True,complete-validation,native,4.304737551137805,4.304737551137805,0.27482684296304843,1748738568719,6363055915008,1.0,1.0,1.271296064398599,38.672192882047966,
006-k018-eager,Joint sparse W2 and Wo with rounded parallel residual epilogue,complete,True,complete-validation,native,3.0617511365562677,4.115402465686202,0.27482684296304843,1748738568719,6363055915008,1.3411298599189487,1.3411298599189487,1.3411298599189487,13.194499513832852,
007-k018-graph,Replay joint sparse residual kernel under CUDA graphs,complete,False,complete-validation,native,1.3229375472292304,4.137295996770263,0.27482684296304843,1748738568719,6363055915008,3.1289404266757446,3.1289404266757446,1.3411298599189487,12.229057785822079,
008-k019-eager,"Fuse exact rounded RoPE, symmetric gates and QKV layout",complete,True,complete-validation,native,3.3739160280674696,4.26033150870353,0.27482684296304843,1748738568719,6363055915008,1.2628153245715343,1.2628153245715343,1.3411298599189487,13.371242958121002,
009-k019-graph,Replay fused rounded RoPE and QKV gates,complete,False,complete-validation,native,1.1607229243963957,4.2836255161091685,0.27482684296304843,1748738568719,6363055915008,3.7063370975831087,3.7063370975831087,1.3411298599189487,11.893892379011959,
010-k019-joint-eager,Compose fused RoPE and QKV gates with joint sparse residual,complete,True,complete-validation,native,2.407985972240567,4.454783513210714,0.27482684296304843,1748738568719,6363055915008,1.8482390457763278,1.8482390457763278,1.8482390457763278,13.012128764996305,
011-k019-joint-graph,Replay composed RoPE and joint sparse residual kernels,complete,False,complete-validation,native,1.0881338967010379,4.361668485216796,0.27482684296304843,1748738568719,6363055915008,4.019319826560504,4.019319826560504,1.8482390457763278,11.984795207856223,
012-joint-canonical-workspace,Check composed kernel against the original canonical attention wrapper,complete,True,complete-validation,native,2.3428534623235464,4.330852534621954,0.27482684296304843,1748738568719,6363055915008,1.8468377057036722,1.8468377057036722,1.8482390457763278,12.904540348099545,
013-joint-canonical-default,Check composed kernel against canonical dense with default workspace,complete,True,complete-validation,native,1.5078410506248474,2.7372620534151793,0.27482684296304843,1748738568719,6363055915008,1.8113958954167395,1.8113958954167395,1.8482390457763278,11.691341117955744,
014-joint-hoisted-default,Isolate import hoisting from the workspace setting,complete,True,complete-validation,native,1.5565246576443315,2.8184340335428715,0.27482684296304843,1748738568719,6363055915008,1.8070991827015264,1.8070991827015264,1.8482390457763278,11.792579070897773,
015-final-r1,Frozen canonical-reference replication 1,complete,True,complete-validation,native,1.4875894412398338,2.69678037147969,0.27482684296304843,1748738568719,6363055915008,1.8101937417410507,1.8101937417410507,1.8482390457763278,9.477518133120611,
016-final-r2,Frozen canonical-reference replication 2,complete,True,complete-validation,native,1.4977249084040523,2.6999794645234942,0.27482684296304843,1748738568719,6363055915008,1.806044448884621,1.806044448884621,1.8482390457763278,9.39459803700447,
017-final-r3,Frozen canonical-reference replication 3,complete,True,complete-validation,native,1.4769439585506916,2.6823084335774183,0.27482684296304843,1748738568719,6363055915008,1.8162573235692687,1.8162573235692687,1.8482390457763278,9.368746896041557,
018-final-rope-ablation,Frozen QKV fusion alone with dense output projections,complete,True,complete-validation,native,1.9763705786317587,2.8783984016627073,0.27482684296304843,1748738568719,6363055915008,1.4573666120950768,1.4573666120950768,1.8482390457763278,9.961242774967104,
019-final-joint-ablation,Frozen joint sparse residual alone with canonical QKV processing,complete,True,complete-validation,native,2.4217315949499607,2.848639152944088,0.27482684296304843,1748738568719,6363055915008,1.177680566741579,1.177680566741579,1.8482390457763278,10.381192914908752,
